Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
07/12/20,11/12/20,academy,37,613
07/12/20,11/12/20,cjbuslines,1,8
07/12/20,11/12/20,coachusa,83,1605
07/12/20,11/12/20,decamp,0,0
07/12/20,11/12/20,greyhound,33,702
07/12/20,11/12/20,hceecommunity,74,1199
07/12/20,11/12/20,lakeland,13,280
07/12/20,11/12/20,martz,14,475
07/12/20,11/12/20,njtransit,2199,27174
07/12/20,11/12/20,peterpanbonanza,12,251
07/12/20,11/12/20,trailways,11,188
07/12/20,11/12/20,transbridge,12,310
14/12/20,18/12/20,academy,37,581
14/12/20,18/12/20,cjbuslines,1,8
14/12/20,18/12/20,coachusa,83,1604
14/12/20,18/12/20,decamp,0,0
14/12/20,18/12/20,greyhound,34,771
14/12/20,18/12/20,hceecommunity,75,1153
14/12/20,18/12/20,lakeland,12,271
14/12/20,18/12/20,martz,13,466
14/12/20,18/12/20,njtransit,2039,26444
14/12/20,18/12/20,peterpanbonanza,9,244
14/12/20,18/12/20,trailways,11,197
14/12/20,18/12/20,transbridge,12,307
21/12/20,25/12/20,academy,31,568
21/12/20,25/12/20,cjbuslines,1,6
21/12/20,25/12/20,coachusa,83,1475
21/12/20,25/12/20,decamp,0,0
21/12/20,25/12/20,greyhound,40,1072
21/12/20,25/12/20,hceecommunity,69,1172
21/12/20,25/12/20,lakeland,13,263
21/12/20,25/12/20,martz,13,487
21/12/20,25/12/20,njtransit,2125,25008
21/12/20,25/12/20,peterpanbonanza,9,244
21/12/20,25/12/20,trailways,11,249
21/12/20,25/12/20,transbridge,12,340
28/12/20,31/12/20,academy,0,0
28/12/20,31/12/20,cjbuslines,1,6
28/12/20,31/12/20,coachusa,80,1316
28/12/20,31/12/20,decamp,0,0
28/12/20,31/12/20,greyhound,36,977
28/12/20,31/12/20,hceecommunity,0,0
28/12/20,31/12/20,lakeland,12,224
28/12/20,31/12/20,martz,13,429
28/12/20,31/12/20,njtransit,2001,22446
28/12/20,31/12/20,peterpanbonanza,10,275
28/12/20,31/12/20,trailways,11,227
28/12/20,31/12/20,transbridge,12,224
04/01/21,08/01/21,academy,37,590
04/01/21,08/01/21,cjbuslines,0,0
04/01/21,08/01/21,coachusa,83,1604
04/01/21,08/01/21,decamp,0,0
04/01/21,08/01/21,greyhound,34,900
04/01/21,08/01/21,hceecommunity,75,1153
04/01/21,08/01/21,lakeland,12,272
04/01/21,08/01/21,martz,13,456
04/01/21,08/01/21,njtransit,2146,25865
04/01/21,08/01/21,peterpanbonanza,9,260
04/01/21,08/01/21,trailways,10,214
04/01/21,08/01/21,transbridge,12,315
11/01/21,15/01/21,academy,37,564
11/01/21,15/01/21,cjbuslines,0,0
11/01/21,15/01/21,coachusa,84,1611
11/01/21,15/01/21,decamp,0,0
11/01/21,15/01/21,greyhound,32,810
11/01/21,15/01/21,hceecommunity,86,1145
11/01/21,15/01/21,lakeland,12,276
11/01/21,15/01/21,martz,13,470
11/01/21,15/01/21,njtransit,2078,26156
11/01/21,15/01/21,peterpanbonanza,9,236
11/01/21,15/01/21,trailways,10,190
11/01/21,15/01/21,transbridge,12,319
