Year,Week_of_Year,FAC,LANE,FAC_B,TOTAL,CLASS 1,CLASS 2,CLASS 3,CLASS 4,CLASS 5,CLASS 6,CLASS 7,CLASS 8,CLASS 9,CLASS 11,CASH,EZPASS,VIOLATION,Autos,Small_T,Large_T,Buses
2013,1,1,1,Holland,32065,31611.0,144.0,29.0,0.0,6.0,1.0,6.0,117.0,109.0,42.0,15712,15860,493,31659,173,7,226
2013,1,1,2,Holland,30921,30531.0,152.0,10.0,2.0,5.0,0.0,10.0,101.0,34.0,76.0,18894,11689,338,30617,162,7,135
2013,1,1,3,Holland,52706,51848.0,280.0,40.0,3.0,8.0,0.0,15.0,197.0,201.0,114.0,3673,47634,1399,51977,320,11,398
2013,1,1,4,Holland,50525,49259.0,268.0,122.0,0.0,3.0,0.0,10.0,290.0,452.0,121.0,0,49209,1316,49390,390,3,742
2013,1,1,5,Holland,45248,41763.0,1875.0,565.0,6.0,15.0,0.0,33.0,211.0,689.0,91.0,0,44148,1100,41887,2440,21,900
2013,1,1,6,Holland,37843,34892.0,1630.0,352.0,26.0,35.0,0.0,30.0,181.0,618.0,79.0,0,36902,941,35001,1982,61,799
2013,1,1,7,Holland,27364,25922.0,746.0,193.0,3.0,5.0,0.0,16.0,141.0,277.0,61.0,2130,24483,751,25999,939,8,418
2013,1,1,8,Holland,26536,25635.0,699.0,36.0,2.0,3.0,0.0,22.0,99.0,21.0,19.0,22093,4274,169,25676,735,5,120
2013,1,1,9,Holland,22462,21766.0,391.0,32.0,1.0,4.0,0.0,14.0,140.0,81.0,33.0,12160,10054,248,21813,423,5,221
2013,1,2,1,Lincoln,3331,255.0,62.0,10.0,0.0,0.0,0.0,1.0,1804.0,1198.0,1.0,0,3200,131,257,72,0,3002
2013,1,2,2,Lincoln,1135,848.0,31.0,1.0,0.0,0.0,0.0,0.0,118.0,108.0,29.0,0,1079,56,877,32,0,226
2013,1,2,4,Lincoln,40349,37488.0,70.0,10.0,0.0,2.0,0.0,6.0,656.0,2006.0,111.0,0,39571,778,37605,80,2,2662
2013,1,2,5,Lincoln,64673,63141.0,97.0,21.0,5.0,3.0,1.0,14.0,459.0,801.0,131.0,0,63285,1388,63286,118,9,1260
2013,1,2,6,Lincoln,23287,22700.0,243.0,16.0,7.0,7.0,0.0,13.0,124.0,164.0,13.0,15312,7648,327,22726,259,14,288
2013,1,2,7,Lincoln,26833,25137.0,780.0,83.0,36.0,56.0,1.0,44.0,219.0,451.0,26.0,16272,10042,519,25207,863,93,670
2013,1,2,8,Lincoln,36729,29296.0,2614.0,813.0,374.0,303.0,3.0,98.0,730.0,2432.0,66.0,5258,30392,1079,29460,3427,680,3162
2013,1,2,9,Lincoln,45735,30090.0,2962.0,1579.0,598.0,451.0,15.0,119.0,1835.0,8014.0,72.0,0,44319,1416,30281,4541,1064,9849
2013,1,2,10,Lincoln,34448,25203.0,2239.0,963.0,254.0,190.0,3.0,86.0,1725.0,3705.0,80.0,1393,32162,893,25369,3202,447,5430
2013,1,2,11,Lincoln,24121,22063.0,855.0,109.0,41.0,66.0,2.0,47.0,448.0,458.0,32.0,16515,7282,324,22142,964,109,906
2013,1,2,12,Lincoln,22892,21187.0,561.0,85.0,32.0,41.0,1.0,32.0,485.0,416.0,52.0,10819,11728,345,21271,646,74,901
2013,1,2,14,Lincoln,7597,55.0,12.0,1.0,0.0,0.0,0.0,0.0,422.0,7107.0,0.0,0,7433,165,55,13,0,7529
