Start_Date	End_Date	Carrier	Volume
08/02/2021	12/02/2021	HCEE - Community	75
08/02/2021	12/02/2021	Lakeland	12
08/02/2021	12/02/2021	Martz	13
08/02/2021	12/02/2021	NJ Transit	2043
08/02/2021	12/02/2021	Peter Pan_Bonanza	10
08/02/2021	12/02/2021	Trailways	10
08/02/2021	12/02/2021	TransBridge	12
15/02/2021	19/02/2021	Academy	35
15/02/2021	19/02/2021	C & J Bus Lines	0
15/02/2021	19/02/2021	Coach USA	81
15/02/2021	19/02/2021	DeCamp	0
15/02/2021	19/02/2021	Greyhound	34
15/02/2021	19/02/2021	HCEE - Community	73
15/02/2021	19/02/2021	Lakeland	12
15/02/2021	19/02/2021	Martz	13
15/02/2021	19/02/2021	NJ Transit	2281
15/02/2021	19/02/2021	Peter Pan_Bonanza	9
15/02/2021	19/02/2021	Trailways	9
15/02/2021	19/02/2021	TransBridge	12
22/02/2021	26/02/2021	Academy	32
22/02/2021	26/02/2021	C & J Bus Lines	0
22/02/2021	26/02/2021	Coach USA	83
22/02/2021	26/02/2021	DeCamp	0
22/02/2021	26/02/2021	Greyhound	33
22/02/2021	26/02/2021	HCEE - Community	78
22/02/2021	26/02/2021	Lakeland	12
22/02/2021	26/02/2021	Martz	13
22/02/2021	26/02/2021	NJ Transit	2077
22/02/2021	26/02/2021	Peter Pan_Bonanza	9
22/02/2021	26/02/2021	Trailways	10
22/02/2021	26/02/2021	TransBridge	12
01/03/2021	05/03/2021	Academy	32
01/03/2021	05/03/2021	C & J Bus Lines	0
01/03/2021	05/03/2021	Coach USA	83
01/03/2021	05/03/2021	DeCamp	0
01/03/2021	05/03/2021	Greyhound	35
01/03/2021	05/03/2021	HCEE - Community	71
01/03/2021	05/03/2021	Lakeland	12
01/03/2021	05/03/2021	Martz	13
01/03/2021	05/03/2021	NJ Transit	2095
01/03/2021	05/03/2021	Peter Pan_Bonanza	9
01/03/2021	05/03/2021	Trailways	10
01/03/2021	05/03/2021	TransBridge	12
08/03/2021	12/03/2021	Academy	36
08/03/2021	12/03/2021	C & J Bus Lines	0
08/03/2021	12/03/2021	Coach USA	83
