Start_Date	End_Date	Carrier	Volume
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Academy	613
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Greyhound	702
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Martz	475
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	NJTransit	27174
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Lakeland	280
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Trailways	188
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Coach USA	1605
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	TransBridge	310
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	Peter Pan_Bonanza	251
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	DeCamp	0
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	HCEE - Community	1199
2020-12-07 00:00:00.000	2020-12-11 00:00:00.000	C&J Bus Lines	8
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Academy	581
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Greyhound	771
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Martz	466
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	NJTransit	26444
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Lakeland	271
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Trailways	197
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Coach USA	1604
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	TransBridge	307
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	Peter Pan_Bonanza	244
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	DeCamp	0
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	HCEE - Community	1153
2020-12-14 00:00:00.000	2020-12-18 00:00:00.000	C&J Bus Lines	8
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Academy	568
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Greyhound	1072
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Martz	487
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	NJTransit	25008
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Lakeland	263
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Trailways	249
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Coach USA	1475
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	TransBridge	340
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	Peter Pan_Bonanza	244
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	DeCamp	0
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	HCEE - Community	1172
2020-12-21 00:00:00.000	2020-12-25 00:00:00.000	C&J Bus Lines	6
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Academy	0
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Greyhound	977
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Martz	429
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	NJTransit	22446
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Lakeland	224
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Trailways	227
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Coach USA	1316
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	TransBridge	224
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	Peter Pan_Bonanza	275
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	DeCamp	0
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	HCEE - Community	0
2020-12-28 00:00:00.000	2020-12-31 00:00:00.000	C&J Bus Lines	6
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Academy	590
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Greyhound	900
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Martz	456
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	NJTransit	25865
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Lakeland	272
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Trailways	214
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Coach USA	1604
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	TransBridge	315
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	Peter Pan_Bonanza	260
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	DeCamp	0
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	HCEE - Community	1153
2021-01-04 00:00:00.000	2021-01-08 00:00:00.000	C&J Bus Lines	0
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Academy	564
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Greyhound	810
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Martz	470
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	NJTransit	26156
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Lakeland	276
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Trailways	190
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Coach USA	1611
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	TransBridge	319
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	Peter Pan_Bonanza	236
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	DeCamp	0
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	HCEE - Community	1145
2021-01-11 00:00:00.000	2021-01-15 00:00:00.000	C&J Bus Lines	0
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Academy	578
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Greyhound	875
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Martz	470
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	NJTransit	23777
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Lakeland	268
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Trailways	194
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	Coach USA	1540
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	TransBridge	331
