Facility	Freeflow	Month_Year	Avg_Speed	Direction	Delta	Facility_Order
BB	44.9	2025-03-01 00:00:00.000	46.9	EB	2	4
BB	45	2025-03-01 00:00:00.000	48.4	WB	3.4	4
GB	44.9	2025-03-01 00:00:00.000	44.6	EB	-0.3	5
GB	44.9	2025-03-01 00:00:00.000	47.9	WB	3	5
GWB	46.1	2025-03-01 00:00:00.000	30.5	EB	-23.2	1
GWB	45.9	2025-03-01 00:00:00.000	32.2	WB	-13.7	1
HT	34.9	2025-03-01 00:00:00.000	30.5	EB	-4.4	3
HT	32	2025-03-01 00:00:00.000	24.2	WB	-7.8	3
LT	32.9	2025-03-01 00:00:00.000	20.2	EB	-12.7	2
LT	40	2025-03-01 00:00:00.000	25.8	WB	-14.2	2
OBX	47.9	2025-03-01 00:00:00.000	49	EB	1.1	6
OBX	44.9	2025-03-01 00:00:00.000	46.7	WB	1.8	6
BB	44.9	2025-02-01 00:00:00.000	47.2	EB	2.3	4
BB	45	2025-02-01 00:00:00.000	48.5	WB	3.5	4
GB	44.9	2025-02-01 00:00:00.000	45.5	EB	0.6	5
GB	44.9	2025-02-01 00:00:00.000	46.2	WB	1.3	5
GWB	46.1	2025-02-01 00:00:00.000	25.4	EB	-20.7	1
GWB	45.9	2025-02-01 00:00:00.000	32.2	WB	-13.7	1
HT	34.9	2025-02-01 00:00:00.000	31.1	EB	-3.8	3
HT	32	2025-02-01 00:00:00.000	25.1	WB	-6.9	3
LT	32.9	2025-02-01 00:00:00.000	21.5	EB	-11.4	2
LT	40	2025-02-01 00:00:00.000	27.2	WB	-12.8	2
OBX	47.9	2025-02-01 00:00:00.000	49.1	EB	1.2	6
OBX	44.9	2025-02-01 00:00:00.000	46.8	WB	1.9	6
BB	44.9	2025-01-01 00:00:00.000	47.3	EB	2.4	4
BB	45	2025-01-01 00:00:00.000	48.6	WB	3.6	4
GB	44.9	2025-01-01 00:00:00.000	49	EB	4.1	5
GB	44.9	2025-01-01 00:00:00.000	47.4	WB	2.5	5
GWB	46.1	2025-01-01 00:00:00.000	30	EB	-16	1
GWB	45.9	2025-01-01 00:00:00.000	32.8	WB	-13.2	1
HT	34.9	2025-01-01 00:00:00.000	33.6	EB	-1.3	3
HT	32	2025-01-01 00:00:00.000	26.3	WB	-5.7	3
LT	32.9	2025-01-01 00:00:00.000	23.4	EB	-9.5	2
LT	40	2025-01-01 00:00:00.000	28.4	WB	-11.6	2
OBX	47.9	2025-01-01 00:00:00.000	49.5	EB	1.6	6
OBX	44.9	2025-01-01 00:00:00.000	47.2	WB	2.3	6
BB	45	2024-12-01 00:00:00.000	45	WB	3.4	4
BB	44.9	2024-12-01 00:00:00.000	47.3	EB	2.4	4
GB	44.9	2024-12-01 00:00:00.000	44.9	WB	1.4	5
GB	44.9	2024-12-01 00:00:00.000	39	EB	-5.9	5
GWB	45.9	2024-12-01 00:00:00.000	45.9	WB	-15.5	1
GWB	46.1	2024-12-01 00:00:00.000	20.1	EB	-25.9	1
HT	32	2024-12-01 00:00:00.000	32	WB	-11.3	3
HT	34.9	2024-12-01 00:00:00.000	22.6	EB	-12.3	3
LT	40	2024-12-01 00:00:00.000	40	WB	-16.3	2
LT	32.9	2024-12-01 00:00:00.000	13.2	EB	-19.7	2
OBX	44.9	2024-12-01 00:00:00.000	44.9	WB	0.9	6
OBX	47.9	2024-12-01 00:00:00.000	46.7	EB	-1.2	6
BB	45	2024-11-01 00:00:00.000	48.8	WB	3.8	4
BB	44.9	2024-11-01 00:00:00.000	47.4	EB	2.5	4
GB	44.9	2024-11-01 00:00:00.000	46.5	WB	1.6	5
GB	44.9	2024-11-01 00:00:00.000	39.4	EB	-5.5	5
GWB	45.9	2024-11-01 00:00:00.000	31.8	WB	-14.1	1
GWB	46.1	2024-11-01 00:00:00.000	21.5	EB	-24.6	1
HT	32	2024-11-01 00:00:00.000	21.6	WB	-10.4	3
HT	34.9	2024-11-01 00:00:00.000	26	EB	-8.9	3
LT	40	2024-11-01 00:00:00.000	24.1	WB	-15.9	2
LT	32.9	2024-11-01 00:00:00.000	15.7	EB	-17.2	2
OBX	44.9	2024-11-01 00:00:00.000	45.7	WB	0.8	6
OBX	47.9	2024-11-01 00:00:00.000	47.5	EB	-0.4	6
BB	45	2024-10-01 00:00:00.000	49	WB	4	4
BB	44.9	2024-10-01 00:00:00.000	46.8	EB	1.9	4
GB	44.9	2024-10-01 00:00:00.000	47.1	WB	2.2	5
GB	44.9	2024-10-01 00:00:00.000	42.4	EB	-2.5	5
GWB	45.9	2024-10-01 00:00:00.000	31.7	WB	-14.2	1
GWB	46.1	2024-10-01 00:00:00.000	21.3	EB	-24.8	1
HT	32	2024-10-01 00:00:00.000	22	WB	-10	3
HT	34.9	2024-10-01 00:00:00.000	26.5	EB	-8.4	3
LT	40	2024-10-01 00:00:00.000	24.1	WB	-15.9	2
LT	32.9	2024-10-01 00:00:00.000	15.8	EB	-17.1	2
OBX	44.9	2024-10-01 00:00:00.000	46.7	WB	1.8	6
OBX	47.9	2024-10-01 00:00:00.000	48	EB	0.1	6
BB	45	2024-09-01 00:00:00.000	48.9	WB	3.9	4
BB	44.9	2024-09-01 00:00:00.000	47.8	EB	2.9	4
GB	44.9	2024-09-01 00:00:00.000	46.9	WB	2	5
GB	44.9	2024-09-01 00:00:00.000	38	EB	-6.9	5
GWB	45.9	2024-09-01 00:00:00.000	31.4	WB	-14.5	1
GWB	46.1	2024-09-01 00:00:00.000	21.1	EB	-25	1
HT	32	2024-09-01 00:00:00.000	21.8	WB	-10.2	3
HT	34.9	2024-09-01 00:00:00.000	24.5	EB	-10.4	3
LT	40	2024-09-01 00:00:00.000	23.7	WB	-16.3	2
LT	32.9	2024-09-01 00:00:00.000	15.4	EB	-17.5	2
OBX	44.9	2024-09-01 00:00:00.000	46.2	WB	1.3	6
OBX	47.9	2024-09-01 00:00:00.000	47.5	EB	-0.4	6
BB	45	2024-08-01 00:00:00.000	48.5	WB	3.5	4
BB	44.9	2024-08-01 00:00:00.000	46	EB	1.1	4
GB	44.9	2024-08-01 00:00:00.000	46.6	WB	1.7	5
GB	44.9	2024-08-01 00:00:00.000	41.8	EB	-3.1	5
GWB	45.9	2024-08-01 00:00:00.000	30	WB	-15.9	1
GWB	46.1	2024-08-01 00:00:00.000	18.7	EB	-27.3	1
HT	32	2024-08-01 00:00:00.000	20.8	WB	-11.2	3
HT	34.9	2024-08-01 00:00:00.000	25.8	EB	-9.1	3
LT	40	2024-08-01 00:00:00.000	22.6	WB	-17.4	2
LT	32.9	2024-08-01 00:00:00.000	15.7	EB	-17.2	2
OBX	44.9	2024-08-01 00:00:00.000	45.4	WB	0.5	6
OBX	47.9	2024-08-01 00:00:00.000	48.7	EB	0.8	6
BB	45	2024-07-01 00:00:00.000	48.5	WB	3.5	4
BB	44.9	2024-07-01 00:00:00.000	45.6	EB	0.7	4
GB	44.9	2024-07-01 00:00:00.000	46.5	WB	1.6	5
GB	44.9	2024-07-01 00:00:00.000	43	EB	-1.9	5
GWB	45.9	2024-07-01 00:00:00.000	32.1	WB	-13.9	1
GWB	46.1	2024-07-01 00:00:00.000	21.6	EB	-24.5	1
HT	32	2024-07-01 00:00:00.000	21	WB	-11	3
HT	34.9	2024-07-01 00:00:00.000	26.6	EB	-8.3	3
LT	40	2024-07-01 00:00:00.000	23.5	WB	-16.5	2
LT	32.9	2024-07-01 00:00:00.000	16.4	EB	-16.5	2
OBX	44.9	2024-07-01 00:00:00.000	46.1	WB	1.2	6
OBX	47.9	2024-07-01 00:00:00.000	49.2	EB	1.3	6
BB	45	2024-06-01 00:00:00.000	48.5	WB	3.5	4
BB	44.9	2024-06-01 00:00:00.000	46.6	EB	1.7	4
GB	44.9	2024-06-01 00:00:00.000	45	WB	0.1	5
GB	44.9	2024-06-01 00:00:00.000	41.6	EB	-3.3	5
GWB	45.9	2024-06-01 00:00:00.000	31.3	WB	-14.6	1
GWB	46.1	2024-06-01 00:00:00.000	19.7	EB	-26.3	1
HT	32	2024-06-01 00:00:00.000	20.9	WB	-11.1	3
HT	34.9	2024-06-01 00:00:00.000	23.1	EB	-11.8	3
LT	40	2024-06-01 00:00:00.000	22.4	WB	-17.6	2
LT	32.9	2024-06-01 00:00:00.000	13.8	EB	-19.1	2
OBX	44.9	2024-06-01 00:00:00.000	45.1	WB	0.2	6
OBX	47.9	2024-06-01 00:00:00.000	48.5	EB	0.6	6
BB	45	2024-05-01 00:00:00.000	48.5	WB	3.5	4
BB	44.9	2024-05-01 00:00:00.000	47	EB	2.1	4
GB	44.9	2024-05-01 00:00:00.000	47.2	WB	2.3	5
GB	44.9	2024-05-01 00:00:00.000	44	EB	-0.9	5
GWB	45.9	2024-05-01 00:00:00.000	31.8	WB	-14.1	1
GWB	46.1	2024-05-01 00:00:00.000	19	EB	-27	1
HT	32	2024-05-01 00:00:00.000	20.8	WB	-11.2	3
HT	34.9	2024-05-01 00:00:00.000	23.9	EB	-11	3
LT	40	2024-05-01 00:00:00.000	22.9	WB	-17.1	2
LT	32.9	2024-05-01 00:00:00.000	14.6	EB	-18.3	2
OBX	44.9	2024-05-01 00:00:00.000	46.8	WB	1.9	6
OBX	47.9	2024-05-01 00:00:00.000	48.6	EB	0.7	6
BB	45	2024-04-01 00:00:00.000	48	WB	3	4
BB	44.9	2024-04-01 00:00:00.000	46.9	EB	2	4
GB	44.9	2024-04-01 00:00:00.000	46.2	WB	1.3	5
GB	44.9	2024-04-01 00:00:00.000	42.6	EB	-2.3	5
GWB	45.9	2024-04-01 00:00:00.000	32.4	WB	-13.5	1
GWB	46.1	2024-04-01 00:00:00.000	21.4	EB	-24.7	1
HT	32	2024-04-01 00:00:00.000	22.6	WB	-9.4	3
HT	34.9	2024-04-01 00:00:00.000	26.6	EB	-8.3	3
LT	40	2024-04-01 00:00:00.000	24.6	WB	-15.4	2
LT	32.9	2024-04-01 00:00:00.000	17.4	EB	-15.5	2
OBX	44.9	2024-04-01 00:00:00.000	47.3	WB	2.4	6
OBX	47.9	2024-04-01 00:00:00.000	49.1	EB	1.2	6
BB	45	2024-03-01 00:00:00.000	47.9	WB	2.9	4
BB	44.9	2024-03-01 00:00:00.000	47.2	EB	2.3	4
GB	44.9	2024-03-01 00:00:00.000	47.4	WB	2.5	5
GB	44.9	2024-03-01 00:00:00.000	41.1	EB	-3.8	5
GWB	45.9	2024-03-01 00:00:00.000	32.4	WB	-13.5	1
GWB	46.1	2024-03-01 00:00:00.000	19.8	EB	-26.3	1
HT	32	2024-03-01 00:00:00.000	22.9	WB	-9.1	3
HT	34.9	2024-03-01 00:00:00.000	26.6	EB	-8.3	3
LT	40	2024-03-01 00:00:00.000	24.7	WB	-15.3	2
LT	32.9	2024-03-01 00:00:00.000	17.6	EB	-15.3	2
OBX	44.9	2024-03-01 00:00:00.000	46.7	WB	1.8	6
OBX	47.9	2024-03-01 00:00:00.000	49.1	EB	1.2	6
BB	45	2024-02-01 00:00:00.000	47.8	WB	2.8	4
BB	44.9	2024-02-01 00:00:00.000	46.9	EB	2	4
GB	44.9	2024-02-01 00:00:00.000	47.3	WB	2.4	5
GB	44.9	2024-02-01 00:00:00.000	43.8	EB	-1.1	5
GWB	45.9	2024-02-01 00:00:00.000	32.2	WB	-13.7	1
GWB	46.1	2024-02-01 00:00:00.000	22.5	EB	-23.6	1
HT	32	2024-02-01 00:00:00.000	23.9	WB	-8.1	3
HT	34.9	2024-02-01 00:00:00.000	28.7	EB	-6.2	3
LT	40	2024-02-01 00:00:00.000	25.5	WB	-14.5	2
LT	32.9	2024-02-01 00:00:00.000	19.7	EB	-13.2	2
OBX	44.9	2024-02-01 00:00:00.000	47.5	WB	2.6	6
OBX	47.9	2024-02-01 00:00:00.000	49.4	EB	1.5	6
OBX	47.9	2024-01-02 00:00:00.000	48.6	EB	0.7	6
BB	45	2024-01-01 00:00:00.000	47.8	WB	2.8	4
BB	44.9	2024-01-01 00:00:00.000	46.4	EB	1.5	4
GB	44.9	2024-01-01 00:00:00.000	47.2	WB	2.3	5
GB	44.9	2024-01-01 00:00:00.000	46	EB	1.1	5
GWB	45.9	2024-01-01 00:00:00.000	34.5	WB	-11.4	1
GWB	46.05	2024-01-01 00:00:00.000	25.6	EB	-20.5	1
HT	32	2024-01-01 00:00:00.000	25	WB	-7	3
HT	34.9	2024-01-01 00:00:00.000	29.4	EB	-5.5	3
LT	40	2024-01-01 00:00:00.000	26.8	WB	-13.2	2
LT	32.9	2024-01-01 00:00:00.000	21	EB	-11.9	2
OBX	44.9	2024-01-01 00:00:00.000	47.1	WB	2.2	6
BB	44.9	2025-04-01 00:00:00.000	47.3	EB	2.4	4
BB	45	2025-04-01 00:00:00.000	48.6	WB	3.6	4
GB	44.9	2025-04-01 00:00:00.000	43.2	EB	-1.7	5
GB	44.9	2025-04-01 00:00:00.000	46.9	WB	2	5
GWB	46.1	2025-04-01 00:00:00.000	22.8	EB	-23.3	1
GWB	45.9	2025-04-01 00:00:00.000	30.8	WB	-15.1	1
HT	34.9	2025-04-01 00:00:00.000	29.5	EB	-5.4	3
HT	32	2025-04-01 00:00:00.000	22.8	WB	-9.2	3
LT	32.9	2025-04-01 00:00:00.000	19	EB	-13.9	2
LT	40	2025-04-01 00:00:00.000	25.1	WB	-14.9	2
OBX	47.9	2025-04-01 00:00:00.000	48.5	EB	0.6	6
OBX	44.9	2025-04-01 00:00:00.000	46.7	WB	1.8	6
