Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
2020-12-07,2020-12-11,academy,37.0,613.0
2020-12-07,2020-12-11,cjbuslines,1.0,8.0
2020-12-07,2020-12-11,coachusa,83.0,1605.0
2020-12-07,2020-12-11,decamp,0.0,0.0
2020-12-07,2020-12-11,greyhound,33.0,702.0
2020-12-07,2020-12-11,hceecommunity,74.0,1199.0
2020-12-07,2020-12-11,lakeland,13.0,280.0
2020-12-07,2020-12-11,martz,14.0,475.0
2020-12-07,2020-12-11,njtransit,2199.0,27174.0
2020-12-07,2020-12-11,peterpanbonanza,12.0,251.0
2020-12-07,2020-12-11,trailways,11.0,188.0
2020-12-07,2020-12-11,transbridge,12.0,310.0
2020-12-14,2020-12-18,academy,37.0,581.0
2020-12-14,2020-12-18,cjbuslines,1.0,8.0
2020-12-14,2020-12-18,coachusa,83.0,1604.0
2020-12-14,2020-12-18,decamp,0.0,0.0
2020-12-14,2020-12-18,greyhound,34.0,771.0
2020-12-14,2020-12-18,hceecommunity,75.0,1153.0
2020-12-14,2020-12-18,lakeland,12.0,271.0
2020-12-14,2020-12-18,martz,13.0,466.0
2020-12-14,2020-12-18,njtransit,2039.0,26444.0
2020-12-14,2020-12-18,peterpanbonanza,9.0,244.0
2020-12-14,2020-12-18,trailways,11.0,197.0
2020-12-14,2020-12-18,transbridge,12.0,307.0
2020-12-21,2020-12-25,academy,31.0,568.0
2020-12-21,2020-12-25,cjbuslines,1.0,6.0
2020-12-21,2020-12-25,coachusa,83.0,1475.0
2020-12-21,2020-12-25,decamp,0.0,0.0
2020-12-21,2020-12-25,greyhound,40.0,1072.0
2020-12-21,2020-12-25,hceecommunity,69.0,1172.0
2020-12-21,2020-12-25,lakeland,13.0,263.0
2020-12-21,2020-12-25,martz,13.0,487.0
2020-12-21,2020-12-25,njtransit,2125.0,25008.0
2020-12-21,2020-12-25,peterpanbonanza,9.0,244.0
2020-12-21,2020-12-25,trailways,11.0,249.0
2020-12-21,2020-12-25,transbridge,12.0,340.0
2020-12-28,2020-12-31,academy,0.0,0.0
2020-12-28,2020-12-31,cjbuslines,1.0,6.0
2020-12-28,2020-12-31,coachusa,80.0,1316.0
2020-12-28,2020-12-31,decamp,0.0,0.0
2020-12-28,2020-12-31,greyhound,36.0,977.0
2020-12-28,2020-12-31,hceecommunity,0.0,0.0
2020-12-28,2020-12-31,lakeland,12.0,224.0
2020-12-28,2020-12-31,martz,13.0,429.0
2020-12-28,2020-12-31,njtransit,2001.0,22446.0
2020-12-28,2020-12-31,peterpanbonanza,10.0,275.0
2020-12-28,2020-12-31,trailways,11.0,227.0
2020-12-28,2020-12-31,transbridge,12.0,224.0
2021-01-04,2021-01-08,academy,37.0,590.0
2021-01-04,2021-01-08,cjbuslines,0.0,0.0
2021-01-04,2021-01-08,coachusa,83.0,1604.0
2021-01-04,2021-01-08,decamp,0.0,0.0
2021-01-04,2021-01-08,greyhound,34.0,900.0
2021-01-04,2021-01-08,hceecommunity,75.0,1153.0
2021-01-04,2021-01-08,lakeland,12.0,272.0
2021-01-04,2021-01-08,martz,13.0,456.0
2021-01-04,2021-01-08,njtransit,2146.0,25865.0
2021-01-04,2021-01-08,peterpanbonanza,9.0,260.0
2021-01-04,2021-01-08,trailways,10.0,214.0
2021-01-04,2021-01-08,transbridge,12.0,315.0
2021-01-11,2021-01-15,academy,37.0,564.0
2021-01-11,2021-01-15,cjbuslines,0.0,0.0
2021-01-11,2021-01-15,coachusa,84.0,1611.0
2021-01-11,2021-01-15,decamp,0.0,0.0
2021-01-11,2021-01-15,greyhound,32.0,810.0
2021-01-11,2021-01-15,hceecommunity,86.0,1145.0
2021-01-11,2021-01-15,lakeland,12.0,276.0
2021-01-11,2021-01-15,martz,13.0,470.0
2021-01-11,2021-01-15,njtransit,2078.0,26156.0
2021-01-11,2021-01-15,peterpanbonanza,9.0,236.0
2021-01-11,2021-01-15,trailways,10.0,190.0
2021-01-11,2021-01-15,transbridge,12.0,319.0
2021-01-18,2021-01-22,academy,36.0,578.0
2021-01-18,2021-01-22,cjbuslines,0.0,0.0
2021-01-18,2021-01-22,coachusa,84.0,1540.0
2021-01-18,2021-01-22,decamp,0.0,0.0
2021-01-18,2021-01-22,greyhound,34.0,875.0
2021-01-18,2021-01-22,hceecommunity,76.0,1123.0
2021-01-18,2021-01-22,lakeland,12.0,268.0
2021-01-18,2021-01-22,martz,13.0,470.0
2021-01-18,2021-01-22,njtransit,2033.0,23777.0
2021-01-18,2021-01-22,peterpanbonanza,9.0,257.0
2021-01-18,2021-01-22,trailways,10.0,194.0
2021-01-18,2021-01-22,transbridge,12.0,331.0
2021-01-25,2021-01-29,academy,35.0,569.0
2021-01-25,2021-01-29,cjbuslines,0.0,0.0
2021-01-25,2021-01-29,coachusa,84.0,1597.0
2021-01-25,2021-01-29,decamp,0.0,0.0
2021-01-25,2021-01-29,greyhound,33.0,881.0
2021-01-25,2021-01-29,hceecommunity,76.0,1123.0
2021-01-25,2021-01-29,lakeland,12.0,272.0
2021-01-25,2021-01-29,martz,13.0,434.0
2021-01-25,2021-01-29,njtransit,2052.0,26578.0
2021-01-25,2021-01-29,peterpanbonanza,9.0,227.0
2021-01-25,2021-01-29,trailways,10.0,203.0
2021-01-25,2021-01-29,transbridge,12.0,315.0
2021-02-01,2021-02-05,academy,35.0,569.0
2021-02-01,2021-02-05,cjbuslines,0.0,0.0
2021-02-01,2021-02-05,coachusa,84.0,1533.0
2021-02-01,2021-02-05,decamp,0.0,0.0
