Facility_Name,Month_Year,Aggregated_Traffic_Volume,Freeflow,Avg_Speed,Direction,Delta
Bayonne,2013-01,279932.0,0.0,0.0,0,0.0
Bayonne,2013-02,249747.0,0.0,0.0,0,0.0
Bayonne,2013-03,283081.0,0.0,0.0,0,0.0
Bayonne,2013-04,288071.0,0.0,0.0,0,0.0
Bayonne,2013-05,302573.0,0.0,0.0,0,0.0
Bayonne,2013-06,293505.0,0.0,0.0,0,0.0
Bayonne,2013-07,299264.0,0.0,0.0,0,0.0
Bayonne,2013-08,307269.0,0.0,0.0,0,0.0
Bayonne,2013-09,286315.0,0.0,0.0,0,0.0
Bayonne,2013-10,301657.0,0.0,0.0,0,0.0
Bayonne,2013-11,282641.0,0.0,0.0,0,0.0
Bayonne,2013-12,266325.0,0.0,0.0,0,0.0
Bayonne,2014-01,236061.0,0.0,0.0,0,0.0
Bayonne,2014-02,207434.0,0.0,0.0,0,0.0
Bayonne,2014-03,247515.0,0.0,0.0,0,0.0
Bayonne,2014-04,240789.0,0.0,0.0,0,0.0
Bayonne,2014-05,230416.0,0.0,0.0,0,0.0
Bayonne,2014-06,249395.0,0.0,0.0,0,0.0
Bayonne,2014-07,250536.0,0.0,0.0,0,0.0
Bayonne,2014-08,215960.0,0.0,0.0,0,0.0
Bayonne,2014-09,215817.0,0.0,0.0,0,0.0
Bayonne,2014-10,243349.0,0.0,0.0,0,0.0
Bayonne,2014-11,207807.0,0.0,0.0,0,0.0
Bayonne,2014-12,232733.0,0.0,0.0,0,0.0
Bayonne,2015-01,198710.0,0.0,0.0,0,0.0
Bayonne,2015-02,166023.0,0.0,0.0,0,0.0
Bayonne,2015-03,194723.0,0.0,0.0,0,0.0
Bayonne,2015-04,167765.0,0.0,0.0,0,0.0
Bayonne,2015-05,191820.0,0.0,0.0,0,0.0
Bayonne,2015-06,181418.0,0.0,0.0,0,0.0
Bayonne,2015-07,169705.0,0.0,0.0,0,0.0
Bayonne,2015-08,160308.0,0.0,0.0,0,0.0
Bayonne,2015-09,161798.0,0.0,0.0,0,0.0
Bayonne,2015-10,149906.0,0.0,0.0,0,0.0
Bayonne,2015-11,148348.0,0.0,0.0,0,0.0
Bayonne,2015-12,167150.0,0.0,0.0,0,0.0
Bayonne,2016-01,129334.0,0.0,0.0,0,0.0
Bayonne,2016-02,124720.0,0.0,0.0,0,0.0
Bayonne,2016-03,145374.0,0.0,0.0,0,0.0
Bayonne,2016-04,128212.0,0.0,0.0,0,0.0
Bayonne,2016-05,147981.0,0.0,0.0,0,0.0
Bayonne,2016-06,139225.0,0.0,0.0,0,0.0
Bayonne,2016-07,121084.0,0.0,0.0,0,0.0
Bayonne,2016-08,135982.0,0.0,0.0,0,0.0
Bayonne,2016-09,132910.0,0.0,0.0,0,0.0
Bayonne,2016-10,144614.0,0.0,0.0,0,0.0
Bayonne,2016-11,164979.0,0.0,0.0,0,0.0
Bayonne,2016-12,166993.0,0.0,0.0,0,0.0
Bayonne,2017-01,137495.0,0.0,0.0,0,0.0
Bayonne,2017-02,122429.0,0.0,0.0,0,0.0
Bayonne,2017-03,172505.0,0.0,0.0,0,0.0
Bayonne,2017-04,193946.0,0.0,0.0,0,0.0
Bayonne,2017-05,220123.0,0.0,0.0,0,0.0
Bayonne,2017-06,240046.0,0.0,0.0,0,0.0
Bayonne,2017-07,197634.0,0.0,0.0,0,0.0
Bayonne,2017-08,218735.0,0.0,0.0,0,0.0
Bayonne,2017-09,197682.0,0.0,0.0,0,0.0
Bayonne,2017-10,212596.0,0.0,0.0,0,0.0
Bayonne,2017-11,217591.0,0.0,0.0,0,0.0
Bayonne,2017-12,231341.0,0.0,0.0,0,0.0
Bayonne,2018-01,221407.0,0.0,0.0,0,0.0
Bayonne,2018-02,197449.0,0.0,0.0,0,0.0
Bayonne,2018-03,221337.0,0.0,0.0,0,0.0
Bayonne,2018-04,223599.0,0.0,0.0,0,0.0
Bayonne,2018-05,263953.0,0.0,0.0,0,0.0
Bayonne,2018-06,284046.0,0.0,0.0,0,0.0
Bayonne,2018-07,235085.0,0.0,0.0,0,0.0
Bayonne,2018-08,260558.0,0.0,0.0,0,0.0
Bayonne,2018-09,232294.0,0.0,0.0,0,0.0
Bayonne,2018-10,241842.0,0.0,0.0,0,0.0
Bayonne,2018-11,234599.0,0.0,0.0,0,0.0
Bayonne,2018-12,238527.0,0.0,0.0,0,0.0
Bayonne,2019-01,202396.0,0.0,0.0,0,0.0
Bayonne,2019-02,191751.0,0.0,0.0,0,0.0
Bayonne,2019-03,248777.0,0.0,0.0,0,0.0
Bayonne,2019-04,219997.0,0.0,0.0,0,0.0
Bayonne,2019-05,295167.0,0.0,0.0,0,0.0
Bayonne,2019-06,302228.0,0.0,0.0,0,0.0
Bayonne,2019-07,308588.0,0.0,0.0,0,0.0
Bayonne,2019-08,325927.0,0.0,0.0,0,0.0
Bayonne,2019-09,315625.0,0.0,0.0,0,0.0
Bayonne,2019-10,317235.0,0.0,0.0,0,0.0
Bayonne,2019-11,308973.0,0.0,0.0,0,0.0
Bayonne,2019-12,318069.0,0.0,0.0,0,0.0
Bayonne,2020-01,280005.0,0.0,0.0,0,0.0
Bayonne,2020-02,266860.0,0.0,0.0,0,0.0
Bayonne,2020-03,222456.0,0.0,0.0,0,0.0
Bayonne,2020-04,139833.0,0.0,0.0,0,0.0
Bayonne,2020-05,192345.0,0.0,0.0,0,0.0
Bayonne,2020-06,235439.0,0.0,0.0,0,0.0
Bayonne,2020-07,259011.0,0.0,0.0,0,0.0
Bayonne,2020-08,273843.0,0.0,0.0,0,0.0
Bayonne,2020-09,268191.0,0.0,0.0,0,0.0
Bayonne,2020-10,295202.0,0.0,0.0,0,0.0
Bayonne,2020-11,253603.0,0.0,0.0,0,0.0
Bayonne,2020-12,241708.0,0.0,0.0,0,0.0
Bayonne,2021-01,234965.0,0.0,0.0,0,0.0
Bayonne,2021-02,197916.0,0.0,0.0,0,0.0
Bayonne,2021-03,258596.0,0.0,0.0,0,0.0
Bayonne,2021-04,269080.0,0.0,0.0,0,0.0
Bayonne,2021-05,311412.0,0.0,0.0,0,0.0
Bayonne,2021-06,336332.0,0.0,0.0,0,0.0
Bayonne,2021-07,330634.0,0.0,0.0,0,0.0
Bayonne,2021-08,340005.0,0.0,0.0,0,0.0
Bayonne,2021-09,328987.0,0.0,0.0,0,0.0
Bayonne,2021-10,361670.0,0.0,0.0,0,0.0
Bayonne,2021-11,346386.0,0.0,0.0,0,0.0
Bayonne,2021-12,316059.0,0.0,0.0,0,0.0
Bayonne,2022-01,252208.0,0.0,0.0,0,0.0
Bayonne,2022-02,265660.0,0.0,0.0,0,0.0
Bayonne,2022-03,308446.0,0.0,0.0,0,0.0
Bayonne,2022-04,316751.0,0.0,0.0,0,0.0
Bayonne,2022-05,351520.0,0.0,0.0,0,0.0
Bayonne,2022-06,361637.0,0.0,0.0,0,0.0
Bayonne,2022-07,350803.0,0.0,0.0,0,0.0
Bayonne,2022-08,356769.0,0.0,0.0,0,0.0
Bayonne,2022-09,331848.0,0.0,0.0,0,0.0
Bayonne,2022-10,353730.0,0.0,0.0,0,0.0
Bayonne,2022-11,335722.0,0.0,0.0,0,0.0
Bayonne,2022-12,339048.0,0.0,0.0,0,0.0
Bayonne,2023-01,293041.0,0.0,0.0,0,0.0
Bayonne,2023-02,265487.0,0.0,0.0,0,0.0
Bayonne,2023-03,310026.0,0.0,0.0,0,0.0
Bayonne,2023-04,314252.0,0.0,0.0,0,0.0
Bayonne,2023-05,376015.0,0.0,0.0,0,0.0
Bayonne,2023-06,366591.0,0.0,0.0,0,0.0
Bayonne,2023-07,368690.0,0.0,0.0,0,0.0
Bayonne,2023-08,358160.0,0.0,0.0,0,0.0
Bayonne,2023-09,323838.0,0.0,0.0,0,0.0
Bayonne,2023-10,349520.0,0.0,0.0,0,0.0
Bayonne,2023-11,343134.0,0.0,0.0,0,0.0
