month_year,FAC,FAC_B,LANE,TOTAL,CLASS 1,CLASS 2,CLASS 3,CLASS 4,CLASS 5,CLASS 6,CLASS 7,CLASS 8,CLASS 9,CLASS 11,CASH,EZPASS,VIOLATION,Autos,Small_T,Large_T,Buses
2013-01,1,Holland,33126,1283310,1229730.0,27258.0,5913.0,194.0,375.0,18.0,544.0,6218.0,10322.0,2738.0,254546,1003458,25306,1233012,33171,587,16540
2013-01,2,Lincoln,68940,1474388,1214268.0,52542.0,17377.0,6552.0,5883.0,265.0,2031.0,49917.0,122329.0,3224.0,219386,1223917,31087,1219523,69919,12700,172246
2013-01,4,Bayonne,14304,279932,254536.0,6761.0,5281.0,1175.0,9545.0,115.0,432.0,1082.0,555.0,450.0,32516,239353,8063,255418,12042,10835,1637
2013-01,5,Goethals,51656,1068959,959260.0,27830.0,13414.0,6462.0,49713.0,661.0,1764.0,2813.0,5876.0,1166.0,179600,862907,26452,962190,41244,56836,8689
2013-01,6,Outerbridge,48796,1125764,1052939.0,23941.0,5266.0,6332.0,31979.0,1422.0,528.0,1265.0,1586.0,506.0,138547,950940,36277,1053973,29207,39733,2851
2013-01,7,GWB Upper,115924,1772186,1440114.0,79015.0,24348.0,28672.0,166263.0,3391.0,4769.0,18820.0,4669.0,2125.0,396596,1340481,35129,1447008,103363,198326,23489
2013-01,8,GWB PIP,172416,590103,586775.0,444.0,48.0,8.0,16.0,1.0,71.0,1678.0,95.0,967.0,56410,518849,14844,587813,492,25,1773
2013-01,9,GWB Lower,430250,1467987,1454956.0,2641.0,233.0,69.0,309.0,6.0,333.0,4679.0,2570.0,2191.0,219461,1202110,46418,1457480,2874,384,7249
2013-02,1,Holland,29775,1157853,1109205.0,25401.0,4809.0,146.0,385.0,29.0,515.0,5806.0,9428.0,2129.0,228417,906779,22659,1111849,30210,560,15234
2013-02,2,Lincoln,62472,1325372,1092878.0,47680.0,15609.0,5926.0,5115.0,258.0,1805.0,44677.0,108857.0,2567.0,195874,1101542,27962,1097250,63289,11299,153534
2013-02,4,Bayonne,12940,249747,227910.0,6033.0,4243.0,1062.0,8113.0,125.0,383.0,948.0,527.0,403.0,28530,214442,6775,228696,10276,9300,1475
2013-02,5,Goethals,46842,947736,851707.0,24787.0,11400.0,5663.0,43210.0,692.0,1509.0,2404.0,5413.0,951.0,157495,767277,22966,854167,36187,49565,7817
2013-02,6,Outerbridge,44104,1000685,936903.0,21158.0,4511.0,5696.0,27693.0,1135.0,472.0,1166.0,1524.0,427.0,121028,847726,31931,937802,25669,34524,2690
2013-02,7,GWB Upper,104484,1545172,1248496.0,72205.0,22391.0,26569.0,145045.0,3228.0,4500.0,17066.0,4030.0,1642.0,354172,1159661,31350,1254638,94596,174842,21096
2013-02,8,GWB PIP,155060,513729,510700.0,410.0,33.0,8.0,22.0,4.0,118.0,1556.0,127.0,751.0,50330,450433,12967,511569,443,34,1683
2013-02,9,GWB Lower,386752,1367179,1354713.0,2493.0,282.0,96.0,331.0,11.0,369.0,4120.0,2805.0,1959.0,207876,1117199,42104,1357041,2775,438,6925
2013-03,1,Holland,32981,1369232,1313646.0,28086.0,5575.0,186.0,395.0,19.0,575.0,6901.0,10955.0,2894.0,284748,1057375,27109,1317115,33661,600,17856
2013-03,2,Lincoln,68832,1587688,1321490.0,52909.0,17820.0,7070.0,6083.0,296.0,2009.0,51321.0,125237.0,3453.0,249961,1304977,32761,1326952,70729,13449,176558
2013-03,4,Bayonne,14398,283081,260175.0,6226.0,3958.0,1053.0,8898.0,99.0,355.0,1123.0,653.0,541.0,32970,242755,7356,261071,10184,10050,1776
2013-03,5,Goethals,51806,1134529,1031250.0,27285.0,11146.0,6218.0,45577.0,674.0,1675.0,3076.0,6273.0,1355.0,201074,907544,25914,1034280,38431,52469,9349
